"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.028761197E0,6.491310083E1,2.553400256E1,3.574966262E1,6.899999976E-1,1.188000031E2,5.210589886E0,7.526001930E0
2.602580729E0,6.491309741E1,2.553400516E1,3.577279137E1,6.899999976E-1,1.188000031E2,5.714010715E0,7.526001930E0
3.602081561E0,6.491306536E1,2.553398547E1,3.183636326E1,1.169999957E0,1.738000031E2,4.401090622E0,6.160755634E0
4.602499842E0,6.491305856E1,2.553389500E1,2.459033818E1,1.269999981E0,1.926999969E2,3.819181442E0,5.257751942E0
5.602100468E0,6.491304888E1,2.553388350E1,2.563818252E1,1.360000014E0,1.783999939E2,3.790092468E0,5.004071236E0
6.602000675E0,6.491303453E1,2.553387324E1,2.434239440E1,1.419999957E0,1.820000000E2,3.790092468E0,4.414476871E0
7.602177081E0,6.491301958E1,2.553386581E1,2.355215949E1,1.450000048E0,1.833999939E2,3.790092468E0,4.385059834E0
8.602269633E0,6.491300639E1,2.553385670E1,2.295308858E1,1.269999981E0,1.885000000E2,3.790092468E0,4.169376850E0
9.602629007E0,6.491299197E1,2.553385254E1,2.202521938E1,1.389999986E0,1.801999969E2,3.790092468E0,3.854078770E0
1.060260317E1,6.491297810E1,2.553384951E1,2.163055365E1,1.340000033E0,1.801000061E2,3.790092468E0,3.863424540E0
1.160186276E1,6.491296491E1,2.553384792E1,2.153691371E1,1.340000033E0,1.841999969E2,3.790092468E0,3.654262781E0
1.260230698E1,6.491294963E1,2.553384710E1,2.100955589E1,1.419999957E0,1.816999969E2,3.790092468E0,3.574636221E0
1.360242869E1,6.491293501E1,2.553384372E1,2.063429869E1,1.429999948E0,1.890000000E2,3.790092468E0,3.582933426E0
1.460232234E1,6.491291996E1,2.553384263E1,2.065387716E1,1.470000029E0,1.808000031E2,3.790092468E0,3.399792433E0
1.560270906E1,6.491290589E1,2.553384263E1,2.104436702E1,1.429999948E0,1.860000000E2,3.790092468E0,3.286268950E0
1.660176052E1,6.491289242E1,2.553385032E1,2.174711211E1,1.399999976E0,1.750000000E2,3.790092468E0,3.097675562E0
1.760225234E1,6.491287991E1,2.553385685E1,2.122286853E1,1.379999995E0,1.743000031E2,3.790092468E0,3.084051847E0
1.860216567E1,6.491286901E1,2.553385985E1,2.175117825E1,1.370000005E0,1.746000061E2,3.790092468E0,2.930207491E0
1.960263572E1,6.491285888E1,2.553386186E1,2.174634675E1,1.370000005E0,1.786000061E2,3.790092468E0,2.859094381E0
2.060199046E1,6.491284707E1,2.553386686E1,2.168774126E1,1.429999948E0,1.731000061E2,3.790092468E0,2.899122715E0
2.160231671E1,6.491283533E1,2.553387122E1,2.215104755E1,1.360000014E0,1.721999969E2,3.790092468E0,2.884126425E0
2.260252416E1,6.491282405E1,2.553387112E1,2.234396922E1,1.370000005E0,1.766999969E2,3.790092468E0,3.008078814E0
2.360190947E1,6.491281230E1,2.553387349E1,2.277742962E1,1.370000005E0,1.756000061E2,3.790092468E0,3.093472719E0
2.460218447E1,6.491280030E1,2.553387772E1,2.305763022E1,1.370000005E0,1.748999939E2,3.790092468E0,3.109760284E0
2.560209635E1,6.491278617E1,2.553387760E1,2.234484856E1,1.409999967E0,1.771999969E2,3.790092468E0,3.083151340E0
2.660272145E1,6.491277068E1,2.553387900E1,2.239421139E1,1.330000043E0,1.808000031E2,3.790092468E0,3.003439903E0
2.760195312E1,6.491275514E1,2.553388141E1,2.345852764E1,1.429999948E0,1.770000000E2,3.790092468E0,2.872457504E0
2.860180140E1,6.491274110E1,2.553388173E1,2.300313125E1,1.379999995E0,1.780000000E2,3.790092468E0,2.728431702E0
2.960231546E1,6.491272842E1,2.553387709E1,2.318640876E1,1.399999976E0,1.781000061E2,3.790092468E0,2.622685432E0
3.060224921E1,6.491271506E1,2.553387049E1,2.305950527E1,1.389999986E0,1.813000031E2,3.790092468E0,2.500000000E0
